sex,maritalstatus,age,education,income,occupation,city
female,non-single,29,high school,33000,official duties,small city
female,non-single,32,high school,42000,official duties,small city
female,non-single,45,university,28000,unemployed,small city
female,non-single,58,university,35000,unemployed,small city
female,non-single,25,high school,30000,official duties,small city
female,non-single,67,graduate,45000,official duties,small city
female,non-single,53,university,36000,unemployed,small city
female,non-single,24,high school,41000,official duties,small city
female,single,20,high school,30000,unemployed,small city
female,non-single,71,graduate,44000,unemployed,small city
female,non-single,31,high school,40000,official duties,mid city
female,non-single,27,high school,14000,unemployed,small city
female,non-single,36,high school,43000,unemployed,small city
female,non-single,25,high school,38000,official duties,small city
female,single,41,high school,44000,official duties,small city
female,non-single,30,high school,36000,official duties,mid city
female,non-single,32,high school,44000,official duties,mid city
female,non-single,29,high school,42000,unemployed,small city
female,single,27,high school,26000,unemployed,small city
female,non-single,32,high school,41000,official duties,small city
female,non-single,25,high school,25000,unemployed,small city
female,single,24,high school,37000,official duties,small city
female,non-single,63,university,29000,unemployed,small city
female,single,42,university,38000,unemployed,small city
female,non-single,22,high school,36000,unemployed,small city
female,non-single,46,university,48000,official duties,mid city
female,non-single,24,high school,33000,official duties,mid city
female,single,30,high school,46000,official duties,mid city
female,non-single,44,university,36000,unemployed,small city
female,single,25,high school,35000,official duties,small city
female,non-single,27,high school,32000,official duties,small city
female,non-single,27,high school,47000,official duties,mid city
female,non-single,34,high school,37000,official duties,mid city
female,non-single,18,high school,33000,official duties,mid city
female,non-single,25,high school,33000,official duties,mid city
female,non-single,21,high school,21000,unemployed,small city
female,non-single,26,high school,39000,official duties,mid city
female,non-single,27,high school,44000,management,mid city
female,single,25,high school,45000,official duties,mid city
female,non-single,30,high school,33000,official duties,mid city
female,single,66,graduate,44000,official duties,small city
female,non-single,25,high school,35000,official duties,mid city
female,non-single,43,university,46000,official duties,small city
female,non-single,35,high school,46000,official duties,mid city
female,single,70,graduate,23000,unemployed,small city
female,single,35,high school,23000,unemployed,small city
female,non-single,26,high school,35000,official duties,small city
female,single,29,high school,26000,unemployed,small city
female,non-single,22,high school,37000,unemployed,small city
female,single,26,high school,39000,official duties,mid city
female,non-single,36,high school,31000,unemployed,small city
female,non-single,35,high school,36000,official duties,mid city
female,non-single,28,high school,39000,official duties,mid city
female,non-single,24,high school,34000,official duties,small city
female,non-single,34,high school,31000,unemployed,small city
female,non-single,25,high school,36000,official duties,small city
female,non-single,54,university,17000,unemployed,small city
female,single,46,university,35000,unemployed,small city
female,non-single,42,high school,17000,unemployed,small city
female,single,45,university,42000,unemployed,small city
female,single,48,university,37000,unemployed,small city
female,single,21,high school,34000,unemployed,small city
female,non-single,31,high school,41000,official duties,small city
female,single,35,high school,46000,official duties,mid city
female,non-single,36,high school,37000,official duties,mid city
female,non-single,32,high school,33000,unemployed,small city
female,non-single,26,high school,36000,unemployed,small city
female,non-single,34,high school,48000,official duties,small city
female,non-single,65,university,45000,official duties,mid city
female,non-single,50,university,31000,unemployed,small city
female,non-single,39,high school,33000,official duties,small city
female,single,52,university,41000,unemployed,small city
female,non-single,36,high school,27000,unemployed,small city
female,non-single,29,high school,40000,official duties,small city
female,non-single,36,high school,48000,official duties,mid city
female,non-single,36,high school,29000,unemployed,small city
female,non-single,27,high school,48000,official duties,mid city
female,non-single,36,high school,45000,management,mid city
female,non-single,26,high school,35000,official duties,mid city
female,single,57,university,38000,official duties,mid city
female,single,27,high school,34000,unemployed,small city
female,non-single,58,university,36000,unemployed,small city
female,non-single,27,high school,21000,unemployed,small city
female,non-single,49,university,40000,official duties,small city
female,non-single,43,university,34000,official duties,small city
female,single,45,university,31000,unemployed,small city
female,non-single,27,high school,33000,unemployed,small city
female,non-single,34,high school,33000,official duties,mid city
female,non-single,21,high school,27000,unemployed,small city
female,non-single,54,university,42000,official duties,mid city
female,non-single,43,university,36000,unemployed,small city
female,single,25,high school,29000,unemployed,small city
female,single,57,university,37000,unemployed,small city
female,non-single,26,high school,34000,official duties,mid city
female,single,30,high school,37000,official duties,small city
female,single,58,university,47000,unemployed,small city
female,non-single,25,high school,41000,official duties,mid city
female,non-single,23,high school,46000,official duties,small city
female,single,22,high school,35000,official duties,small city
female,non-single,21,high school,30000,official duties,mid city
female,non-single,20,high school,38000,official duties,mid city
female,non-single,22,high school,20000,unemployed,small city
female,single,27,high school,42000,official duties,mid city
female,single,24,high school,27000,unemployed,small city
female,non-single,23,high school,41000,official duties,small city
female,non-single,26,high school,34000,official duties,mid city
female,single,28,high school,34000,official duties,small city
female,non-single,64,graduate,47000,official duties,small city
female,non-single,26,high school,35000,official duties,mid city
female,non-single,31,high school,35000,official duties,small city
female,single,28,high school,37000,unemployed,small city
female,non-single,25,high school,39000,official duties,mid city
female,single,49,university,39000,unemployed,small city
female,non-single,33,high school,45000,official duties,mid city
female,single,27,high school,32000,official duties,small city
female,non-single,59,university,21000,unemployed,small city
female,non-single,28,high school,41000,official duties,small city
female,non-single,24,high school,40000,official duties,mid city
female,non-single,26,high school,22000,unemployed,small city
female,single,33,high school,28000,unemployed,small city
female,single,37,high school,36000,official duties,mid city
female,non-single,46,university,51000,official duties,small city
female,non-single,62,university,47000,unemployed,mid city
female,single,26,high school,33000,unemployed,small city
female,non-single,49,university,41000,unemployed,small city
female,non-single,25,high school,30000,unemployed,small city
female,non-single,37,high school,42000,unemployed,small city
female,single,31,high school,41000,official duties,small city
female,single,25,high school,31000,unemployed,small city
female,non-single,21,high school,23000,unemployed,small city
female,non-single,27,high school,27000,unemployed,small city
female,non-single,29,high school,42000,official duties,small city
female,non-single,30,high school,34000,official duties,mid city
female,non-single,26,high school,39000,official duties,mid city
female,non-single,40,university,46000,unemployed,small city
female,non-single,23,high school,35000,official duties,mid city
female,non-single,31,high school,32000,official duties,small city
female,non-single,29,high school,30000,unemployed,small city
female,single,22,high school,35000,unemployed,small city
female,non-single,26,high school,36000,official duties,mid city
female,single,39,high school,35000,official duties,mid city
female,single,35,high school,28000,unemployed,small city
female,non-single,26,high school,32000,official duties,mid city
female,non-single,28,high school,45000,official duties,mid city
female,non-single,56,university,44000,official duties,small city
female,non-single,22,high school,32000,official duties,mid city
female,non-single,26,high school,36000,official duties,small city
female,single,41,high school,38000,official duties,small city
female,non-single,29,high school,36000,official duties,mid city
female,non-single,42,university,28000,unemployed,small city
female,non-single,50,university,42000,official duties,mid city
female,non-single,33,high school,45000,official duties,small city
female,non-single,28,high school,39000,official duties,mid city
female,non-single,27,high school,23000,unemployed,small city
female,non-single,27,high school,41000,official duties,small city
female,single,28,high school,21000,unemployed,small city
female,non-single,24,high school,41000,official duties,mid city
female,single,28,high school,47000,management,mid city
female,non-single,32,high school,33000,official duties,small city
female,single,32,high school,15000,unemployed,small city
female,single,30,high school,24000,unemployed,small city
female,non-single,29,high school,37000,official duties,small city
female,non-single,37,high school,48000,official duties,mid city
female,non-single,24,high school,17000,unemployed,small city
female,non-single,36,high school,25000,unemployed,small city
female,non-single,40,university,29000,unemployed,small city
female,non-single,51,university,33000,unemployed,small city
female,non-single,33,high school,36000,unemployed,small city
female,single,31,high school,39000,official duties,small city
female,non-single,29,high school,33000,official duties,mid city
female,single,48,university,36000,unemployed,small city
female,non-single,25,high school,32000,official duties,small city
female,single,28,high school,19000,unemployed,small city
female,non-single,23,high school,36000,official duties,mid city
female,non-single,32,high school,37000,official duties,mid city
female,non-single,34,high school,42000,official duties,small city
female,single,23,high school,38000,official duties,small city
female,non-single,25,high school,36000,official duties,mid city
female,single,25,high school,35000,official duties,small city
female,non-single,27,high school,35000,official duties,small city
female,non-single,29,high school,40000,official duties,small city
female,non-single,46,university,27000,unemployed,small city
female,non-single,61,university,33000,unemployed,small city
female,non-single,25,high school,32000,official duties,small city
female,non-single,67,graduate,43000,official duties,small city
female,non-single,49,university,34000,unemployed,small city
female,non-single,21,high school,42000,official duties,small city
female,single,19,high school,30000,unemployed,small city
female,non-single,67,graduate,43000,unemployed,small city
female,non-single,31,high school,37000,official duties,mid city
female,non-single,27,high school,13000,unemployed,small city
female,non-single,37,high school,43000,unemployed,small city
female,non-single,27,high school,38000,official duties,small city
female,single,36,high school,43000,official duties,small city
female,non-single,24,high school,34000,official duties,mid city
female,non-single,31,high school,46000,official duties,mid city
female,non-single,29,high school,41000,unemployed,small city
female,single,28,high school,27000,unemployed,small city
female,non-single,34,high school,42000,official duties,small city
female,non-single,26,high school,28000,unemployed,small city
female,single,21,high school,36000,official duties,small city
female,non-single,63,university,28000,unemployed,small city
female,single,38,university,39000,unemployed,small city
female,non-single,20,high school,38000,unemployed,small city
female,non-single,44,university,48000,official duties,mid city
female,non-single,31,high school,35000,official duties,mid city
female,single,33,high school,46000,official duties,mid city
female,non-single,49,university,36000,unemployed,small city
female,single,26,high school,36000,official duties,small city
female,non-single,28,high school,32000,official duties,small city
female,non-single,30,high school,47000,official duties,mid city
female,non-single,36,high school,35000,official duties,mid city
female,non-single,27,high school,18000,unemployed,small city
male,single,23,unknown,36000,unemployed,small city
male,single,31,unknown,38000,official duties,small city
female,non-single,27,high school,32000,official duties,small city
female,non-single,25,high school,42000,official duties,small city
female,non-single,23,high school,22000,unemployed,small city
male,non-single,27,high school,22000,unemployed,small city
female,single,38,high school,23000,unemployed,small city
male,single,44,high school,38000,unemployed,small city
female,non-single,42,high school,15000,unemployed,small city
female,non-single,25,high school,35000,unemployed,small city
male,non-single,40,high school,25000,unemployed,small city
female,non-single,24,high school,39000,unemployed,small city
female,single,39,high school,32000,unemployed,small city
male,single,24,unknown,22000,unemployed,small city
female,single,50,high school,40000,official duties,small city
female,non-single,28,high school,41000,unemployed,small city
female,non-single,36,high school,27000,unemployed,small city
male,single,36,high school,35000,official duties,small city
female,non-single,40,high school,29000,unemployed,small city
female,single,31,unknown,25000,unemployed,small city
male,non-single,27,high school,22000,unemployed,small city
female,non-single,35,high school,31000,unemployed,small city
male,single,51,high school,41000,unemployed,small city
female,single,26,unknown,22000,unemployed,small city
male,single,33,high school,29000,unemployed,small city
female,non-single,27,high school,31000,unemployed,small city
male,single,38,high school,28000,unemployed,small city
female,single,30,unknown,36000,official duties,small city
male,single,28,unknown,38000,official duties,small city
male,single,23,unknown,24000,unemployed,small city
female,non-single,23,high school,38000,unemployed,small city
female,non-single,26,high school,42000,official duties,small city
female,non-single,21,high school,31000,unemployed,small city
female,single,36,high school,25000,unemployed,small city
female,non-single,24,high school,22000,unemployed,small city
male,single,41,high school,40000,official duties,small city
male,single,42,high school,40000,official duties,small city
male,single,27,unknown,24000,unemployed,small city
male,non-single,40,high school,26000,unemployed,small city
female,non-single,34,high school,30000,unemployed,small city
male,single,40,high school,35000,unemployed,small city
male,single,33,high school,33000,official duties,small city
female,single,49,high school,33000,unemployed,small city
male,single,28,unknown,27000,unemployed,small city
female,non-single,26,high school,36000,official duties,small city
female,single,40,high school,33000,unemployed,small city
male,single,47,high school,32000,unemployed,small city
female,non-single,41,high school,43000,official duties,small city
female,non-single,29,high school,31000,unemployed,small city
female,non-single,37,high school,30000,unemployed,small city
male,single,31,unknown,40000,official duties,small city
male,single,35,high school,37000,official duties,small city
male,single,35,high school,41000,official duties,small city
female,non-single,29,high school,25000,unemployed,small city
female,single,37,high school,42000,official duties,small city
male,single,37,high school,28000,unemployed,small city
female,non-single,26,high school,29000,unemployed,small city
female,non-single,28,high school,26000,unemployed,small city
female,non-single,23,high school,29000,unemployed,small city
male,single,38,high school,35000,official duties,small city
female,non-single,30,high school,33000,official duties,small city
female,single,45,high school,36000,official duties,small city
male,single,24,unknown,28000,unemployed,small city
female,single,35,high school,38000,official duties,small city
female,non-single,41,high school,39000,official duties,small city
male,non-single,30,high school,36000,official duties,small city
female,non-single,30,high school,40000,official duties,small city
female,non-single,26,high school,31000,unemployed,small city
female,non-single,25,high school,29000,unemployed,small city
female,non-single,23,high school,24000,unemployed,small city
female,non-single,27,high school,28000,unemployed,small city
female,single,26,unknown,24000,unemployed,small city
male,single,25,unknown,35000,unemployed,small city
male,non-single,27,high school,32000,official duties,small city
female,single,42,high school,27000,unemployed,small city
male,single,35,high school,29000,unemployed,small city
female,non-single,25,high school,30000,unemployed,small city
female,non-single,26,high school,28000,unemployed,small city
male,single,38,high school,43000,official duties,small city
female,single,28,unknown,24000,unemployed,small city
male,non-single,33,high school,37000,official duties,small city
female,single,40,high school,32000,unemployed,small city
female,non-single,23,high school,34000,official duties,small city
female,single,25,unknown,38000,official duties,small city
female,single,28,unknown,36000,unemployed,small city
male,single,41,high school,23000,unemployed,small city
female,single,50,high school,37000,unemployed,small city
female,non-single,23,high school,37000,official duties,small city
female,non-single,26,high school,35000,official duties,small city
female,non-single,22,high school,20000,unemployed,small city
male,single,37,high school,40000,unemployed,small city
female,single,38,high school,27000,unemployed,small city
female,non-single,22,high school,23000,unemployed,small city
female,single,30,unknown,30000,unemployed,small city
male,single,38,high school,25000,unemployed,small city
female,non-single,36,high school,35000,official duties,small city
male,single,41,high school,24000,unemployed,small city
female,non-single,29,high school,41000,official duties,small city
female,non-single,31,high school,36000,official duties,small city
female,single,31,unknown,33000,official duties,small city
female,single,21,unknown,23000,unemployed,small city
male,single,32,unknown,40000,official duties,small city
female,non-single,35,high school,41000,official duties,small city
male,single,29,unknown,30000,unemployed,small city
female,single,34,high school,36000,official duties,small city
female,single,38,high school,31000,unemployed,small city
female,non-single,33,high school,15000,unemployed,small city
female,non-single,28,high school,23000,unemployed,small city
female,non-single,28,high school,38000,official duties,small city
male,single,21,unknown,20000,unemployed,small city
female,non-single,29,high school,33000,unemployed,small city
female,non-single,26,high school,24000,unemployed,small city
female,single,40,high school,32000,unemployed,small city
female,single,25,unknown,16000,unemployed,small city
male,non-single,20,high school,34000,official duties,small city
female,non-single,23,high school,21000,unemployed,small city
female,single,27,unknown,34000,official duties,small city
female,single,36,high school,34000,official duties,small city
female,non-single,25,high school,36000,official duties,small city
female,non-single,25,high school,38000,unemployed,small city
female,non-single,34,high school,42000,unemployed,small city
female,single,24,unknown,23000,unemployed,small city
female,single,36,high school,42000,official duties,small city
female,single,40,high school,26000,unemployed,small city
male,single,39,high school,28000,unemployed,small city
female,single,42,high school,26000,unemployed,small city
male,single,35,high school,38000,unemployed,small city
female,non-single,27,high school,33000,official duties,small city
male,single,27,unknown,22000,unemployed,small city
female,non-single,23,high school,34000,official duties,small city
female,non-single,32,high school,42000,official duties,small city
male,non-single,28,high school,45000,official duties,small city
male,single,22,unknown,35000,official duties,small city
male,single,31,unknown,39000,official duties,small city
female,non-single,22,high school,40000,official duties,small city
male,single,23,unknown,24000,unemployed,small city
female,non-single,35,high school,42000,unemployed,small city
female,non-single,26,high school,37000,unemployed,small city
female,non-single,28,high school,26000,unemployed,small city
male,single,54,high school,42000,official duties,small city
female,single,49,high school,34000,unemployed,small city
female,single,38,high school,30000,unemployed,small city
female,single,47,high school,37000,official duties,small city
female,single,49,high school,41000,unemployed,small city
female,non-single,30,high school,39000,official duties,small city
female,single,32,unknown,27000,unemployed,small city
female,non-single,24,high school,33000,unemployed,small city
female,single,25,unknown,23000,unemployed,small city
male,single,33,high school,27000,unemployed,small city
female,non-single,34,high school,41000,official duties,small city
female,non-single,24,high school,22000,unemployed,small city
female,single,36,high school,43000,unemployed,small city
female,single,41,high school,26000,unemployed,small city
male,non-single,33,high school,36000,official duties,small city
female,non-single,26,high school,34000,official duties,small city
female,single,36,high school,40000,official duties,small city
female,single,35,high school,39000,unemployed,small city
male,single,29,unknown,37000,official duties,small city
female,non-single,26,high school,23000,unemployed,small city
male,single,31,unknown,23000,unemployed,small city
male,non-single,26,high school,24000,unemployed,small city
male,single,47,high school,25000,unemployed,small city
male,non-single,20,high school,32000,official duties,small city
male,single,45,high school,36000,unemployed,small city
male,single,36,high school,39000,official duties,small city
male,non-single,31,high school,27000,unemployed,small city
female,single,41,high school,28000,unemployed,small city
female,single,31,unknown,24000,unemployed,small city
female,non-single,27,high school,36000,unemployed,small city
female,non-single,32,high school,41000,official duties,small city
female,single,43,high school,26000,unemployed,small city
female,single,32,unknown,23000,unemployed,small city
female,non-single,29,high school,39000,official duties,small city
male,single,37,high school,30000,unemployed,small city
female,single,35,high school,29000,unemployed,small city
female,non-single,23,high school,24000,unemployed,small city
male,single,40,high school,35000,official duties,small city
female,non-single,26,high school,33000,official duties,small city
male,single,28,unknown,21000,unemployed,small city
female,non-single,40,high school,35000,official duties,small city
female,non-single,26,high school,33000,unemployed,small city
female,non-single,23,high school,38000,official duties,small city
male,single,26,unknown,36000,unemployed,small city
male,single,26,unknown,42000,official duties,small city
female,single,49,high school,31000,unemployed,small city
female,non-single,26,high school,32000,official duties,small city
female,single,35,high school,29000,unemployed,small city
female,non-single,24,high school,27000,unemployed,small city
female,single,46,high school,26000,unemployed,small city
male,single,26,unknown,20000,unemployed,small city
male,single,47,high school,29000,unemployed,small city
male,single,27,unknown,20000,unemployed,small city
male,non-single,41,high school,38000,official duties,small city
female,non-single,29,high school,34000,official duties,small city
female,non-single,28,high school,13000,unemployed,small city
female,non-single,33,high school,27000,unemployed,small city
female,single,50,high school,31000,unemployed,small city
female,non-single,32,high school,36000,official duties,small city
male,non-single,31,high school,30000,unemployed,small city
male,single,52,high school,32000,unemployed,small city
male,single,53,high school,42000,official duties,small city
female,non-single,34,high school,29000,unemployed,small city
female,non-single,22,high school,31000,official duties,small city
male,non-single,33,high school,28000,unemployed,small city
male,single,32,unknown,43000,official duties,small city
female,single,45,high school,35000,unemployed,small city
male,non-single,25,high school,23000,unemployed,small city
female,non-single,41,high school,32000,unemployed,small city
female,single,36,high school,36000,unemployed,small city
female,non-single,27,high school,37000,official duties,small city
male,single,40,high school,24000,unemployed,small city
female,single,37,high school,32000,unemployed,small city
male,single,35,high school,35000,unemployed,small city
male,single,34,high school,30000,unemployed,small city
female,single,28,unknown,39000,official duties,small city
female,single,44,high school,25000,unemployed,small city
male,non-single,27,high school,33000,official duties,small city
female,single,50,high school,38000,official duties,small city
female,non-single,18,high school,34000,official duties,small city
female,single,25,unknown,24000,unemployed,small city
female,non-single,40,high school,23000,unemployed,small city
male,non-single,28,high school,37000,official duties,small city
female,non-single,23,high school,20000,unemployed,small city
female,non-single,35,high school,25000,unemployed,small city
female,non-single,28,high school,43000,official duties,small city
female,single,23,unknown,32000,official duties,small city
male,non-single,34,high school,38000,official duties,small city
female,non-single,29,high school,17000,unemployed,small city
female,single,35,high school,34000,official duties,small city
female,non-single,32,high school,29000,unemployed,small city
female,single,46,high school,24000,unemployed,small city
female,non-single,27,high school,38000,official duties,small city
female,non-single,25,high school,41000,official duties,small city
female,non-single,27,high school,34000,unemployed,small city
female,non-single,24,high school,29000,unemployed,small city
female,single,33,unknown,23000,unemployed,small city
female,non-single,24,high school,36000,official duties,small city
female,single,28,unknown,26000,unemployed,small city
female,single,35,high school,18000,unemployed,small city
female,non-single,30,high school,40000,official duties,small city
male,single,43,high school,39000,official duties,small city
male,non-single,21,high school,38000,unemployed,small city
female,non-single,24,high school,22000,unemployed,small city
male,single,34,high school,25000,unemployed,small city
female,non-single,26,high school,42000,official duties,small city
male,single,37,high school,36000,official duties,small city
female,non-single,32,high school,27000,unemployed,small city
female,non-single,33,high school,36000,unemployed,small city
male,non-single,28,high school,32000,official duties,small city
female,non-single,30,high school,38000,official duties,small city
female,non-single,26,high school,19000,unemployed,small city
female,single,25,unknown,37000,unemployed,small city
male,single,33,unknown,38000,official duties,small city
female,non-single,30,high school,31000,official duties,small city
female,non-single,26,high school,43000,official duties,small city
male,non-single,23,high school,22000,unemployed,small city
male,non-single,25,high school,21000,unemployed,small city
female,single,40,high school,23000,unemployed,small city
male,single,46,high school,38000,unemployed,small city
female,non-single,43,high school,16000,unemployed,small city
female,non-single,22,high school,36000,unemployed,small city
male,non-single,39,high school,24000,unemployed,small city
female,non-single,27,high school,39000,unemployed,small city
male,single,40,high school,31000,unemployed,small city
male,single,24,unknown,21000,unemployed,small city
female,single,52,high school,38000,official duties,small city
female,non-single,30,high school,40000,unemployed,small city
female,non-single,34,high school,26000,unemployed,small city
female,single,38,high school,35000,official duties,small city
male,non-single,39,high school,30000,unemployed,small city
female,single,29,unknown,27000,unemployed,small city
male,non-single,25,high school,22000,unemployed,small city
female,non-single,35,high school,31000,unemployed,small city
male,single,53,high school,41000,unemployed,small city
male,single,26,unknown,21000,unemployed,small city
male,single,33,high school,30000,unemployed,small city
male,non-single,29,high school,30000,unemployed,small city
male,single,39,high school,28000,unemployed,small city
male,single,29,unknown,34000,official duties,small city
male,single,26,unknown,38000,official duties,small city
male,single,24,unknown,23000,unemployed,small city
female,non-single,21,high school,38000,unemployed,small city
female,non-single,26,high school,42000,official duties,small city
female,non-single,20,high school,30000,unemployed,small city
female,single,35,high school,24000,unemployed,small city
female,non-single,24,high school,23000,unemployed,small city
female,single,40,high school,41000,official duties,small city
female,single,44,high school,41000,official duties,small city
male,single,29,unknown,25000,unemployed,small city
female,non-single,39,high school,27000,unemployed,small city
female,non-single,35,high school,31000,unemployed,small city
male,single,42,high school,36000,unemployed,small city
female,single,32,high school,33000,official duties,small city
male,single,48,high school,32000,unemployed,small city
male,single,26,unknown,28000,unemployed,small city
female,non-single,26,high school,37000,official duties,small city
male,single,42,high school,33000,unemployed,small city
male,single,48,high school,32000,unemployed,small city
female,non-single,42,high school,44000,official duties,small city
female,non-single,27,high school,31000,unemployed,small city
female,non-single,37,high school,32000,unemployed,small city
male,single,33,unknown,39000,official duties,small city
male,single,33,high school,37000,official duties,small city
female,single,37,high school,41000,official duties,small city
female,non-single,31,high school,27000,unemployed,small city
male,single,39,high school,41000,official duties,small city
female,single,40,high school,28000,unemployed,small city
female,non-single,28,high school,30000,unemployed,small city
female,non-single,26,high school,27000,unemployed,small city
female,non-single,24,high school,28000,unemployed,small city
male,single,40,high school,35000,official duties,small city
female,non-single,29,high school,34000,official duties,small city
male,single,43,high school,37000,official duties,small city
male,single,23,unknown,29000,unemployed,small city
female,single,34,high school,38000,official duties,small city
female,non-single,42,high school,38000,official duties,small city
female,non-single,33,high school,35000,official duties,small city
female,non-single,32,high school,40000,official duties,small city
female,non-single,26,high school,32000,unemployed,small city
female,non-single,23,high school,29000,unemployed,small city
female,non-single,26,high school,23000,unemployed,small city
female,non-single,27,high school,29000,unemployed,small city
male,single,24,unknown,24000,unemployed,small city
male,single,27,unknown,35000,unemployed,small city
female,non-single,26,high school,33000,official duties,small city
female,single,42,high school,26000,unemployed,small city
female,single,37,high school,28000,unemployed,small city
female,non-single,26,high school,29000,unemployed,small city
female,non-single,24,high school,26000,unemployed,small city
female,single,39,high school,42000,official duties,small city
male,single,26,unknown,23000,unemployed,small city
male,non-single,35,high school,38000,official duties,small city
male,single,38,high school,32000,unemployed,small city
female,non-single,24,high school,33000,official duties,small city
female,single,26,unknown,36000,official duties,small city
male,single,25,unknown,36000,unemployed,small city
male,single,40,high school,24000,unemployed,small city
female,single,48,high school,36000,unemployed,small city
female,non-single,22,high school,37000,official duties,small city
female,non-single,25,high school,34000,official duties,small city
male,non-single,24,high school,21000,unemployed,small city
male,single,39,high school,40000,unemployed,small city
male,single,39,high school,27000,unemployed,small city
female,non-single,21,high school,23000,unemployed,small city
female,single,27,unknown,29000,unemployed,small city
male,single,40,high school,26000,unemployed,small city
female,non-single,37,high school,36000,official duties,small city
female,single,42,high school,23000,unemployed,small city
female,non-single,31,high school,40000,official duties,small city
female,non-single,31,high school,34000,official duties,small city
male,single,30,unknown,33000,official duties,small city
female,single,23,unknown,22000,unemployed,small city
male,single,33,unknown,39000,official duties,small city
female,non-single,37,high school,42000,official duties,small city
female,single,29,unknown,29000,unemployed,small city
female,single,31,high school,38000,official duties,small city
male,single,39,high school,31000,unemployed,small city
female,non-single,33,high school,14000,unemployed,small city
male,non-single,26,high school,24000,unemployed,small city
female,non-single,27,high school,37000,official duties,small city
female,single,20,unknown,20000,unemployed,small city
female,non-single,27,high school,34000,unemployed,small city
female,non-single,26,high school,24000,unemployed,small city
male,single,40,high school,31000,unemployed,small city
male,single,24,unknown,15000,unemployed,small city
female,non-single,22,high school,34000,official duties,small city
female,non-single,24,high school,21000,unemployed,small city
female,single,27,unknown,35000,official duties,small city
male,single,35,high school,33000,official duties,small city
male,non-single,27,high school,35000,official duties,small city
female,non-single,25,high school,39000,unemployed,small city
female,non-single,34,high school,42000,unemployed,small city
female,single,24,unknown,23000,unemployed,small city
female,single,34,high school,40000,official duties,small city
male,single,42,high school,26000,unemployed,small city
female,single,38,high school,28000,unemployed,small city
male,single,42,high school,27000,unemployed,small city
female,single,35,high school,38000,unemployed,small city
female,non-single,27,high school,34000,official duties,small city
male,single,25,unknown,21000,unemployed,small city
female,non-single,23,high school,34000,official duties,small city
female,non-single,34,high school,42000,official duties,small city
female,non-single,28,high school,44000,official duties,small city
male,single,21,unknown,34000,official duties,small city
female,single,32,unknown,38000,official duties,small city
female,non-single,21,high school,40000,official duties,small city
male,single,25,unknown,22000,unemployed,small city
female,non-single,35,high school,41000,unemployed,small city
female,non-single,25,high school,36000,unemployed,small city
female,non-single,31,high school,26000,unemployed,small city
male,single,54,high school,43000,official duties,small city
female,single,51,high school,34000,unemployed,small city
female,single,38,high school,29000,unemployed,small city
male,single,45,high school,38000,official duties,small city
female,single,47,high school,41000,unemployed,small city
female,non-single,27,high school,39000,official duties,small city
male,single,31,unknown,29000,unemployed,small city
female,non-single,24,high school,33000,unemployed,small city
male,single,25,unknown,23000,unemployed,small city
